ts,prompt_id,variant,compression_mode,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,effective_token_count,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T122617Z,p05_summarize_the_sentence_the_quick_bro,raw,none,True,2.8439908027648926,3.0544755458831787,2.9267523288726807,1.0,0.43785981534348517,0.010422925641454679,1.0,True,1.0,True,1.0,19,19,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p05_summarize_the_sentence_the_quick_bro,compressed,raw_fallback,True,2.8439908027648926,3.0544755458831787,2.9267523288726807,1.0,0.43785981534348517,0.010422925641454679,1.0,True,1.0,True,1.0,19,19,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p05_summarize_the_sentence_the_quick_bro,compressed_vectorized_proxy_mean,raw_fallback,True,3.1595816612243652,6.098185062408447,5.907309055328369,1.0,0.9310616230093853,0.005622813892436542,0.7,False,0.1,False,,19,20,0,1.0526315789473684,0.31559085845947266,3.0437095165252686,0.49320180766590016,-0.30000000000000004
20260308T122617Z,p05_summarize_the_sentence_the_quick_bro,compressed_vectorized_proxy_attn_weighted,raw_fallback,True,3.1595816612243652,6.098185062408447,5.907309055328369,1.0,0.9310616230093853,0.005622813892436542,0.7,False,0.1,False,,19,20,0,1.0526315789473684,0.31559085845947266,3.0437095165252686,0.49320180766590016,-0.30000000000000004
20260308T122617Z,p05_summarize_the_sentence_the_quick_bro,compressed_vectorized_proxy_pca1,raw_fallback,True,4.817047119140625,5.935574054718018,5.8233184814453125,1.0,0.9016741918473037,0.0043391456377123916,0.1,False,0.0,False,,19,20,0,1.0526315789473684,1.9730563163757324,2.881098508834839,0.4638143765038185,-0.9
20260308T122617Z,p06_translate_good_night_to_spanish,raw,none,True,3.9336752891540527,2.079526662826538,2.0130856037139893,1.0,0.7892964228290683,0.006835886602761786,1.0,True,1.0,True,1.0,9,9,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p06_translate_good_night_to_spanish,compressed,raw_fallback,True,3.9336752891540527,2.079526662826538,2.0130856037139893,1.0,0.7892964228290683,0.006835886602761786,1.0,True,1.0,True,1.0,9,9,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p06_translate_good_night_to_spanish,compressed_vectorized_proxy_mean,raw_fallback,True,2.0356273651123047,6.426921367645264,6.244587421417236,1.0,0.9546589414251678,0.004590238751574435,0.9,True,0.2222222222222222,False,-12.0,9,20,0,2.2222222222222223,-1.898047924041748,4.347394704818726,0.16536251859609952,-0.09999999999999998
20260308T122617Z,p06_translate_good_night_to_spanish,compressed_vectorized_proxy_attn_weighted,raw_fallback,True,2.0356273651123047,6.426921367645264,6.244587421417236,1.0,0.9546589414251678,0.004590238751574435,0.9,True,0.2222222222222222,False,-12.0,9,20,0,2.2222222222222223,-1.898047924041748,4.347394704818726,0.16536251859609952,-0.09999999999999998
20260308T122617Z,p06_translate_good_night_to_spanish,compressed_vectorized_proxy_pca1,raw_fallback,True,2.647766351699829,5.7717695236206055,5.623291015625,1.0,0.6867216279093361,0.0125531985442685,1.0,True,0.4444444444444444,False,-3.5,9,21,0,2.3333333333333335,-1.2859089374542236,3.6922428607940674,-0.1025747949197322,0.0
20260308T122617Z,p07_write_a_short_python_function_that_r,raw,none,True,2.6912214756011963,8.742573738098145,8.584917068481445,1.0,0.8277931342791292,0.007741204384362309,0.9,True,1.0,True,1.0,14,14,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p07_write_a_short_python_function_that_r,compressed,raw_fallback,True,2.6912214756011963,8.742573738098145,8.584917068481445,1.0,0.8277931342791292,0.007741204384362309,0.9,True,1.0,True,1.0,14,14,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p07_write_a_short_python_function_that_r,compressed_vectorized_proxy_mean,raw_fallback,True,3.546402931213379,6.342060089111328,6.163906097412109,1.0,0.9553132432098342,0.0049450466300549455,0.8,True,0.1,False,,14,20,0,1.4285714285714286,0.8551814556121826,-2.4005136489868164,0.1275201089307051,-0.09999999999999998
20260308T122617Z,p07_write_a_short_python_function_that_r,compressed_vectorized_proxy_attn_weighted,raw_fallback,True,3.546402931213379,6.342060089111328,6.163906097412109,1.0,0.9553132432098342,0.0049450466300549455,0.8,True,0.1,False,,14,20,0,1.4285714285714286,0.8551814556121826,-2.4005136489868164,0.1275201089307051,-0.09999999999999998
20260308T122617Z,p07_write_a_short_python_function_that_r,compressed_vectorized_proxy_pca1,raw_fallback,True,2.98350191116333,5.116840362548828,5.004114151000977,1.0,0.7003704459634594,0.009798169885961668,0.8,True,0.4,False,-9.2,14,20,0,1.4285714285714286,0.2922804355621338,-3.6257333755493164,-0.12742268831566972,-0.09999999999999998
20260308T122617Z,p08_explain_why_the_statement_all_swans_,raw,none,True,2.655712366104126,4.120472431182861,4.034493446350098,1.0,0.7972607644681601,0.008157507719451113,0.9,True,1.0,True,1.0,17,17,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p08_explain_why_the_statement_all_swans_,compressed,compressed,True,4.341147422790527,5.1531805992126465,5.011634349822998,1.0,0.9710716800887869,0.0029061067101486316,0.8,True,0.0,False,,17,24,0,1.411764705882353,1.6854350566864014,1.0327081680297852,0.17381091562062678,-0.09999999999999998
